"vCORE Technology Partners","628%","$56m","IT Services","Arizona","Phoenix",,42,
"TorchLight","627%","$2.5m","Advertising & Marketing","Virginia","Washington DC",,8,
"Lamps.com","626%","$4.4m","Retail","Pennsylvania","Philadelphia",,11,
"The Garrett Companies","622%","$5.9m","Real Estate","Indiana","Indianapolis IN",,16,
"Calpiping Industrial","620%","$7.8m","Manufacturing","California","Los Angeles",,30,
"Valore","619%","$86.3m","Education","Massachusetts","Boston",,57,
"Noribachi","617%","$37.4m","Manufacturing","California","Los Angeles",,150,
"ChartWise Medical Systems","617%","$4m","Software","Rhode Island","Providence-Warwick RI-MA",,22,
"Rivers' Edge Countertops","616%","$3.7m","Construction","Oklahoma","Oklahoma City OK",,23,
"Saxbys Coffee","615%","$5.6m","Food & Beverage","Pennsylvania","Philadelphia",,230,
"etailz","614%","$93.2m","Retail","Washington","Spokane-Spokane Valley WA",,156,
"Get A Rate","614%","$2.2m","Financial Services","New Jersey","New York City",,18,
"Caduceus Healthcare","612%","$42.8m","Government Services","Georgia","Atlanta",,185,
"WaveStrike","611%","$9.1m","Government Services","Maryland","Baltimore",,44,
"Xcaliber Solutions","610%","$2.4m","Business Products & Services","California","Los Angeles",,9,
"Bannockburn Global Forex","610%","$21m","Financial Services","Ohio","Cincinnati",,20,
"Elite Pacific Properties","609%","$15.4m","Real Estate","Hawaii","Urban Honolulu HI",,12,
"InfraWare","608%","$5.4m","Software","Indiana","Terre Haute IN",,25,
"South By Sea","608%","$7.7m","Consumer Products & Services","Washington","Seattle",,51,
"InspiraFS","608%","$3.5m","Financial Services","Pennsylvania","Pittsburgh PA",,11,
"Launch Digital Marketing","607%","$16.2m","Advertising & Marketing","Illinois","Chicago",,109,
"United Installs","606%","$3.4m","Construction","Kentucky","Cincinnati",,88,
"Zhou Nutrition","605%","$2.3m","Health","Missouri","Kansas City MO-KS",,6,
"A1 Diabetes & Medical Supply","604%","$9.4m","Health","Tennessee","Memphis TN-MS-AR",,150,
"BENZARA","604%","$13.8m","Retail","California","Los Angeles",,87,
"ePremium Insurance","603%","$13.7m","Insurance","Ohio","Cincinnati",,49,
"Bolt On Technology","603%","$3.1m","Software","Pennsylvania","Philadelphia",,25,
"Malwarebytes","603%","$69.2m","Security","California","San Jose",,326,
"Team SI","602%","$5.9m","Advertising & Marketing","Arkansas","Little Rock-North Little Rock-Conway AR",,70,
"Hathway","602%","$8.4m","Advertising & Marketing","California","San Luis Obispo-Paso Robles-Arroyo Grande CA",,50,
"Arch Systems","601%","$5m","Government Services","Maryland","Baltimore",,35,
"Collins","600%","$8.1m","Advertising & Marketing","New York","New York City",,29,
"Sky Zone Trampoline Park","600%","$28.4m","Consumer Products & Services","California","Los Angeles",,97,
"A. Marshall Family Foods","598%","$18.8m","Food & Beverage","Tennessee","Nashville",,464,
"SiteREADY","597%","$5.3m","Business Products & Services","Florida","Tampa",,36,
"RynohLive","596%","$4.8m","Software","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,13,
"Tapad","595%","$57.3m","Advertising & Marketing","New York","New York City",,151,
"Kaufman Development","594%","$11.8m","Real Estate","Ohio","Columbus OH",,24,
"IIT","594%","$29m","IT Services","New York","New York City",,295,
"Madrivo","594%","$32.4m","Advertising & Marketing","Nevada","Las Vegas-Henderson-Paradise NV",,54,
"Paramount Lodging Advisors","594%","$6m","Real Estate","Illinois","Chicago",,17,
"Fluxx Labs","593%","$6.4m","Software","California","San Francisco",,62,
"NeevSys","593%","$4m","IT Services","Virginia","Washington DC",,28,
"Neo Prism Solutions","591%","$3.8m","IT Services","Illinois","Chicago",,55,
"CTC Transportation Insurance Services","590%","$12.7m","Insurance","California","San Diego",,60,
"BombBomb","590%","$5.3m","Software","Colorado","Colorado Springs CO",,50,
"ConsultADD","589%","$10.5m","IT Services","New York","New York City",,125,
"Myriad Mobile","589%","$2.6m","Software","North Dakota","Fargo ND-MN",,30,
"Zarbee's","587%","$39.8m","Health","Utah","Salt Lake City",,25,
"SmarterHQ","585%","$3.8m","Software","Indiana","Indianapolis IN",,76,
"Adseek Media","584%","$3.3m","Advertising & Marketing","Washington","Seattle",,3,
"NEO Tech","583%","$603.4m","Manufacturing","California","Los Angeles",,3500,
"Jones Therapy Services","583%","$2.2m","Health","Tennessee","Nashville",,47,
"Entrust Energy","583%","$179.8m","Energy","Texas","Houston",,137,
"Test Double","582%","$4m","IT Services","Ohio","Columbus OH",,16,
"Wellness IQ","582%","$4.5m","Health","Ohio","Cleveland",,17,
"RedCloud Consulting","581%","$6.7m","Business Products & Services","Washington","Seattle",,44,
"WorldVentures","581%","$567.4m","Travel & Hospitality","Texas","Dallas",,538,
"Pizza Schmizza","580%","$2.9m","Food & Beverage","Oregon","Salem OR",,50,
"TechStyle Fashion Group","579%","$505.1m","Retail","California","Los Angeles",,2290,
"Rescue | The Behavior Change Agency","577%","$29.2m","Advertising & Marketing","California","San Diego",,127,
"WordStream","577%","$22.7m","Advertising & Marketing","Massachusetts","Boston",,148,
"RE/MAX TITANIUM","576%","$2.3m","Real Estate","California","Los Angeles",,19,
"First Cornerstone Group","576%","$2.6m","Education","Texas","Houston",,16,
"E-Volve Systems","575%","$2m","Engineering","Ohio","Cincinnati",,9,
"Clever Investor","573%","$7.8m","Education","Arizona","Phoenix",,46,
"RPI","573%","$2.9m","Environmental Services","California","San Jose",,25,
"Loyal Source Government Services","573%","$146.9m","Government Services","Florida","Orlando FL",,2597,
"Dope Magazine","571%","$2m","Media","Washington","Seattle",,40,
"RE/MAX Insight","571%","$10m","Real Estate","New Hampshire","Boston",,8,
"GigSalad","570%","$4.1m","Advertising & Marketing","Missouri","Springfield MO",,22,
"TPI Efficiency","570%","$3.8m","Business Products & Services","Ohio","Cleveland",,27,
"Clinical Ink","570%","$9m","Health","Pennsylvania","Philadelphia",,99,
"Axle Logistics","568%","$17.2m","Logistics & Transportation","Tennessee","Knoxville TN",,27,
"BioPoint","568%","$10.9m","Health","Massachusetts","Boston",,50,
"Stability Technology","567%","$9.4m","IT Services","California","Los Angeles",,110,
"PureCars Automotive","566%","$26.4m","Advertising & Marketing","South Carolina","Charleston-North Charleston SC",,154,
"Procore Technologies","566%","$23.5m","Software","California","Oxnard-Thousand Oaks-Ventura CA",,360,
"Trident Technologies","565%","$33.3m","Government Services","Alabama","Huntsville AL",,157,
"Sustainable Supply","564%","$12.4m","Retail","Colorado","Denver",,18,
"PhishMe","564%","$18.5m","Security","Virginia","Washington DC",,202,
"Sells Group","563%","$2.3m","Advertising & Marketing","Indiana","Indianapolis IN",,16,
"The Surface Masters","561%","$2m","Construction","Georgia","Atlanta",,12,
"Saffron Road Foods","560%","$32.1m","Consumer Products & Services","Connecticut","Bridgeport-Stamford-Norwalk CT",,21,
"Obsidian Solutions Group","560%","$11m","Government Services","Virginia","Washington DC",,126,
"Credibly","558%","$26.2m","Financial Services","New York","New York City",,138,
"Northeast Suites","557%","$8.7m","Travel & Hospitality","Massachusetts","Boston",,12,
"Tongal","556%","$22.2m","Advertising & Marketing","California","Los Angeles",,46,
"Vantage Payments","556%","$3.5m","Financial Services","Arizona","Phoenix",,9,
"Logical Position","555%","$10.3m","Advertising & Marketing","Oregon","Portland OR",,109,
"Wisetail","553%","$2.1m","Software","Montana","Bozeman MT",,25,
"Elixiter","552%","$2.7m","Business Products & Services","Montana","Bozeman MT",,31,
"A.M. Sun Solar","552%","$3.6m","Energy","California","San Luis Obispo-Paso Robles-Arroyo Grande CA",,25,
"G&G LED Lighting","550%","$2.3m","Manufacturing","New York","Albany-Schenectady-Troy NY",,10,
"SWP Contracting & Paving","550%","$10.4m","Government Services","Arizona","Phoenix",,25,
"MUH-TAY-ZIK | HOF-FER","549%","$16.8m","Advertising & Marketing","California","San Francisco",,80,
"Bartkowski Group","549%","$4.3m","Construction","Illinois",,,20,
"Clearly Promotions","549%","$2.5m","Advertising & Marketing","Utah","Ogden-Clearfield UT",,4,
"Fragoso Auto and Truck Parts","548%","$2m","Retail","Texas","Austin",,15,
"Inserso","546%","$26.2m","Government Services","Virginia","Washington DC",,250,
"Metre22","545%","$2.7m","Business Products & Services","Texas","Dallas",,8,
"DATUM","545%","$18m","IT Services","Maryland","Baltimore",,52,
"Creative Systems and Consulting","545%","$9.1m","Government Services","Virginia","Washington DC",,40,
"Nationwide Real Estate Executives","544%","$9.3m","Real Estate","California","Los Angeles",,467,
"Rook Security","544%","$8.5m","Security","Indiana","Indianapolis IN",,54,
"Goldfish Swim School Franchising","544%","$2m","Education","Michigan","Detroit",,14,
"Cash Network","544%","$9.6m","Advertising & Marketing","Utah","Salt Lake City",,9,
"innovecture","543%","$4.2m","Software","Utah","Salt Lake City",,32,
"Principal Service Solutions","542%","$19m","Human Resources","California","Modesto CA",,160,
"Reliance Partners","542%","$2.1m","Insurance","Tennessee","Chattanooga TN-GA",,28,
"The Cambridge Institute","542%","$49.3m","Education","Massachusetts","Boston",,237,
"ReviMedia","541%","$17.3m","Advertising & Marketing","New York","New York City",,33,
"Transformyx","540%","$19.2m","IT Services","Louisiana","Baton Rouge LA",,42,
"mortgage financial services","540%","$7.1m","Financial Services","Texas","Dallas",,140,
"RevLocal","539%","$16m","Advertising & Marketing","Ohio","Columbus OH",,187,
"Torchlight Technology Group","539%","$4.4m","Advertising & Marketing","Pennsylvania","Philadelphia",,18,
"Powdermet","539%","$15.5m","Manufacturing","Ohio","Cleveland",,32,
"EverBright Media","538%","$9.4m","Media","Florida","Miami",,6,
"Circa Ventures","538%","$2.8m","Business Products & Services","Texas","Houston",,18,
"Progressive Dental","537%","$6.5m","Advertising & Marketing","Florida","Tampa",,39,
"Crossover Health","537%","$21.2m","Health","California","Los Angeles",,215,
"Boomsourcing","536%","$5.5m","Business Products & Services","Utah","Provo-Orem UT",,58,
"Segero","535%","$4.3m","Consumer Products & Services","California","Los Angeles",,11,
"THE WESTPORT GROUP","535%","$5.4m","Insurance","Massachusetts","Boston",,9,
"Light Efficient Design","535%","$30.3m","Manufacturing","Illinois","Chicago",,23,
"Vital","534%","$3.3m","Advertising & Marketing","New Hampshire","Boston",,36,
"IME","534%","$2.1m","Government Services","District of Columbia","Washington DC",,29,
"King George","534%","$4m","Government Services","Texas","Dallas",,110,
"Concept Plus","534%","$18.2m","IT Services","Virginia","Washington DC",,99,
"Uproar PR","533%","$2.9m","Advertising & Marketing","Florida","Orlando FL",,41,
"Genius Phone Repair","533%","$7m","Retail","Michigan","Grand Rapids-Wyoming MI",,136,
"Early Upgrade","532%","$34m","Consumer Products & Services","Florida","Jacksonville FL",,31,
"ClickDimensions","531%","$15.9m","Software","Georgia","Atlanta",,123,
"Hatchbeauty Products","530%","$59.1m","Consumer Products & Services","California","Los Angeles",,107,
"Forever Wealth Club","529%","$3.7m","Education","Florida","Cape Coral-Fort Myers FL",,7,
"Fluent Edgeworks","529%","$7.7m","IT Services","California","San Francisco",,7,
"Acsential","527%","$6.9m","Government Services","Georgia","Atlanta",,215,
"Racami","527%","$3.6m","IT Services","Georgia","Atlanta",,32,
"Placers","526%","$3.9m","Human Resources","Delaware","Philadelphia",,80,
"Maximum Games","526%","$24.9m","Consumer Products & Services","California","San Francisco",,25,
"Acordis International","526%","$13.7m","IT Services","Florida","Miami",,40,
"Dealer Spike","525%","$12.2m","Advertising & Marketing","Oregon","Portland OR",,219,
"iCanvas","525%","$12.8m","Retail","Illinois","Chicago",,61,
"Square","523%","$1.2b","Financial Services","California","San Francisco",,1282,
"Accelogix","521%","$4.7m","IT Services","North Carolina","Raleigh NC",,41,
"Phunware","521%","$35.8m","Software","Texas","Austin",,183,
"Axial","518%","$10.4m","Software","New York","New York City",,94,
"Synergy Billing","518%","$6m","Health","Florida","Deltona-Daytona Beach-Ormond Beach FL",,96,
"Fell Swoop","518%","$8.6m","Advertising & Marketing","Washington","Seattle",,32,
"AERIAL","517%","$27m","Real Estate","Tennessee","Nashville",,24,
"LeadingAgile","517%","$8.7m","Business Products & Services","Georgia","Atlanta",,42,
"True","517%","$25.5m","Human Resources","New Jersey","Philadelphia",,65,
"Magnetic","517%","$79.9m","Advertising & Marketing","New York","New York City",,293,
"Bista Solutions","517%","$2.8m","IT Services","Georgia","Atlanta",,10,
"Frank Surveying Co","517%","$6.2m","Engineering","Texas",,,53,
"Bravelets","515%","$3.5m","Retail","Texas","Austin",,10,
"Heartland Consulting","514%","$4.3m","Government Services","Virginia","Washington DC",,36,
"Crunch Fitness West Florida and Atlanta","514%","$10.9m","Health","Florida","Tampa",,400,
"EnTouch Controls","514%","$3.6m","Energy","Texas","Dallas",,30,
"JVZoo","513%","$6.1m","Software","Florida","Orlando FL",,12,
"Hunter Quinn Homes","513%","$10.3m","Construction","South Carolina","Charleston-North Charleston SC",,13,
"Shaw + Scott","513%","$5m","Advertising & Marketing","Washington","Seattle",,48,
"Government Tactical Solutions","512%","$2.6m","Government Services","Virginia","Washington DC",,33,
"Look Listen","512%","$4.6m","Advertising & Marketing","Georgia","Atlanta",,40,
"Mid America Logistics","512%","$44.5m","Logistics & Transportation","Missouri","St. Louis MO-IL",,51,
"Ammunition Depot","512%","$18.5m","Retail","Florida","Miami",,30,
"Votto Vines Importing","511%","$7.5m","Food & Beverage","Connecticut","New Haven-Milford CT",,12,
"Capture Higher Ed","509%","$5m","Education","Kentucky","Louisville/Jefferson County KY-IN",,57,
"Secure Bancard","508%","$12.2m","Financial Services","Georgia","Atlanta",,7,
"Salt and Light Energy Equipment","508%","$11.9m","Energy","Texas","Dallas",,52,
"IP Consulting","507%","$7.6m","IT Services","Michigan","Grand Rapids-Wyoming MI",,16,
"Bridge","506%","$10m","Advertising & Marketing","New Jersey","New York City",,79,
"MediaAlpha","504%","$105.5m","Software","Washington","Seattle",,26,
"Ingenicomm","501%","$6.9m","Engineering","Virginia","Washington DC",,38,
"MitchelLake Group","501%","$3.7m","Human Resources","California","San Francisco",,26,
"The Matt Laricy Group Americorp Real Estate","500%","$105.1m","Real Estate","Illinois","Chicago",,7,
"Focus Design Builders","499%","$16m","Construction","North Carolina","Raleigh NC",,18,
"Knowesis","498%","$19.7m","Government Services","Virginia","Washington DC",,96,
"Yea.Nice","497%","$2.2m","Retail","California","Los Angeles",,10,
"American Cyber","497%","$6.9m","Government Services","Virginia","Washington DC",,49,
"Spangler Restoration","496%","$9.1m","Construction","North Carolina","Charlotte",,55,
"Oiselle Running","496%","$6.6m","Retail","Washington","Seattle",,25,
"RER Energy Group","495%","$6.4m","Energy","Pennsylvania","Reading PA",,15,
"Girl Friday Productions","495%","$2.8m","Media","Washington","Seattle",,21,
"Activate Healthcare","495%","$18.3m","Health","Indiana","Indianapolis IN",,142,
"Blue Ridge Product Solutions","495%","$8.9m","Retail","Virginia","Richmond VA",,10,
"Professional Realty Services / HomeSmart Advisors","493%","$5.3m","Real Estate","Washington","Spokane-Spokane Valley WA",,278,
"Alcohol by Volume","493%","$14.2m","Food & Beverage","California","Salinas CA",,10,
"Rumph & Associates","492%","$4.5m","Government Services","Georgia","Atlanta",,35,
"V3Gate","492%","$33.2m","Government Services","Colorado","Colorado Springs CO",,15,
"WilsonAmplifiers Signal Boosters"," Creekle","492%","$8.6m","Consumer Products & Services","Texas",,"Houston",18
"Lightspeed Voice","491%","$2m","Telecommunications","Florida","North Port-Sarasota-Bradenton FL",,21,
"TDW+Co","491%","$10m","Advertising & Marketing","Washington","Seattle",,33,
"Seneca Resources","490%","$7.7m","IT Services","Virginia","Washington DC",,139,
"Kings Capital Construction Group","490%","$13.6m","Construction","New York","New York City",,40,
"Devonshire REIT","489%","$54.2m","Real Estate","Ohio","Toledo OH",,37,
"Momentum Solutionz","488%","$2.6m","IT Services","Virginia","Roanoke VA",,11,
"Tribal Tech","488%","$8.7m","Government Services","Virginia","Washington DC",,45,
"L4 Digital","487%","$13.1m","Software","Washington","Seattle",,75,
"Real Estate Heaven","487%","$14.6m","Real Estate","California","Los Angeles",,13,
"MJTerveen Construction","486%","$5.6m","Construction","South Dakota","Sioux Falls SD",,38,
"Yochana IT Solutions","485%","$22m","Human Resources","Michigan","Detroit",,500,
"Conversion Logix","484%","$2.1m","Advertising & Marketing","Washington","Seattle",,10,
"IdentiCom Sign Solutions","483%","$4.4m","Business Products & Services","Michigan","Detroit",,12,
"Big Sky Enterprises","482%","$11.4m","Construction","New Jersey","Philadelphia",,11,
"Compton Construction","481%","$4.9m","Construction","Ohio","Columbus OH",,18,
"Oodle","480%","$2m","Advertising & Marketing","Ohio","Cincinnati",,17,
"Providia Home Care","480%","$13.2m","Health","Florida","Cape Coral-Fort Myers FL",,181,
"SocialToaster","480%","$2.7m","Advertising & Marketing","Maryland","Baltimore",,34,
"Firespring","479%","$31.3m","Business Products & Services","Nebraska","Lincoln NE",,253,
"Axxera","478%","$2.9m","Security","California","Los Angeles",,60,
"SANTE Realty Investments","477%","$2.9m","Real Estate","Arizona","Phoenix",,9,
"Account Control Technology","477%","$258.9m","Financial Services","California","Los Angeles",,4693,
"PEG Bandwidth","477%","$76.1m","Telecommunications","Texas","Dallas",,127,
"Fluent Home","476%","$3.4m","Security","Utah","Salt Lake City",,300,
"Zero Energy Contracting","476%","$18.2m","Energy","California","Los Angeles",,110,
"Assured Flow Solutions","475%","$5.4m","Energy","Texas","Houston",,20,
"Performance Plus Carts","474%","$3m","Consumer Products & Services","Florida","Lakeland-Winter Haven FL",,10,
"LinTech Global","474%","$16.1m","Government Services","Michigan","Detroit",,120,
"Yext","474%","$89.1m","Software","New York","New York City",,420,
"DLP Realty","473%","$14.1m","Real Estate","Pennsylvania","Allentown-Bethlehem-Easton PA-NJ",,55,
"Landmark Roofing","473%","$3.8m","Construction","Texas","Dallas",,12,
"CONSTRUCTION PROS OF NJ","473%","$13.3m","Construction","New Jersey","New York City",,70,
"B.O.S.S. Retirement Solutions","473%","$2.3m","Financial Services","Utah","Provo-Orem UT",,10,
"Hiball Energy","472%","$8.5m","Food & Beverage","California","San Francisco",,10,
"Commerce Electrical Contracting","471%","$8.8m","Construction","New York","New York City",,25,
"Enlighten IT Consulting","468%","$12.5m","Government Services","Maryland","Baltimore",,56,
"Daseke","468%","$678.8m","Logistics & Transportation","Texas","Dallas",,3000,
"VertaMedia","468%","$6.5m","Advertising & Marketing","New York","New York City",,76,
"Desai Hotel Group","467%","$7.8m","Real Estate","Mississippi","Jackson MS",,125,
"CarGurus","467%","$98.7m","Consumer Products & Services","Massachusetts","Boston",,205,
"MaxGen Energy Services","464%","$16.2m","Energy","California","Los Angeles",,75,
"Appraisal Nation","464%","$13.7m","Real Estate","North Carolina","Raleigh NC",,110,
"Sondhi Solutions","463%","$12.6m","IT Services","Indiana","Indianapolis IN",,75,
"DrWanted.com","463%","$4.5m","Health","Georgia","Atlanta",,13,
"Xtreme Snow Pros","463%","$3.8m","Construction","New Jersey","New York City",,24,
"TLN Worldwide Enterprises","463%","$3.9m","Government Services","New York","New York City",,46,
"IronMountain Solutions","462%","$16m","Government Services","Alabama","Huntsville AL",,96,
"Modernizing Medicine","462%","$52.3m","Health","Florida","Miami",,445,
"Great Lakes Aerial Maintenance and Construction Co","462%","$15.6m","Construction","Michigan","Monroe MI",,41,
"Luxury Living Chicago Realty","461%","$2.5m","Real Estate","Illinois","Chicago",,13,
"Tach Tech","461%","$8.7m","IT Services","California","San Francisco",,10,
"AcctTwo","461%","$5.5m","Business Products & Services","Texas","Houston",,40,
"Vineyard Capital Partners","461%","$17m","Financial Services","Georgia","Atlanta",,10,
"Create NYC","460%","$14m","Health","New York","New York City",,18,
"Patagonia Health","459%","$3.2m","Health","North Carolina","Raleigh NC",,21,
"TekCommands","459%","$2m","IT Services","Michigan","Detroit",,19,
"Winesburg Builders","458%","$51.3m","Construction","Ohio","Coshocton OH",,100,
"Bioplus Specialty Pharmacy Services","456%","$827.3m","Health","Florida","Orlando FL",,205,
"k12itc","456%","$7.5m","IT Services","Missouri","Kansas City MO-KS",,27,
"Risk International Services","456%","$14.4m","Business Products & Services","Ohio","Akron OH",,72,
"Strategic Operational Solutions","455%","$47.2m","Government Services","Virginia","Washington DC",,228,
"Birmingham Industrial Construction","454%","$43.2m","Construction","Alabama","Birmingham-Hoover AL",,50,
"Budget Dumpster","454%","$29.4m","Environmental Services","Ohio","Cleveland",,60,
"Worldwide Cyclery","453%","$3.3m","Retail","California","Oxnard-Thousand Oaks-Ventura CA",,8,
"Engine Shop","453%","$12.7m","Advertising & Marketing","New York","New York City",,55,
"Appleton","453%","$22.8m","Education","Alabama","Huntsville AL",,3400,
"Connexion Point","453%","$40m","Health","Utah","Salt Lake City",,1022,
"Perfect Water Technologies","452%","$3.4m","Consumer Products & Services","Arizona","Phoenix",,12,
"Lumber One Services","452%","$11.2m","Construction","Arizona","Phoenix",,6,
"Abacus Data Systems","452%","$30.3m","IT Services","California","San Diego",,110,
"Alliance Cost Containment","452%","$4.4m","Business Products & Services","Kentucky","Louisville/Jefferson County KY-IN",,23,
"Neighborhood Loans","452%","$13.4m","Financial Services","Illinois","Chicago",,109,
"MOMENTUM SOLAR","451%","$8m","Energy","New Jersey","New York City",,32,
"Tonic Design Co","451%","$7.1m","Software","Pennsylvania","Philadelphia",,66,
"Apothecary by Design","450%","$166.6m","Health","Maine","Portland-South Portland ME",,78,
"Nerium International","450%","$515.7m","Consumer Products & Services","Texas","Dallas",,460,
"West Coast Solar","450%","$10.5m","Energy","California","San Francisco",,50,
"eLearningBrothers","450%","$5m","Education","Utah","Provo-Orem UT",,49,
"Lubke Construction","449%","$3m","Construction","Florida","Tampa",,6,
"OrangePeople","448%","$9.9m","IT Services","California","Los Angeles",,80,
"Logical Media Group","448%","$2.5m","Advertising & Marketing","Illinois","Chicago",,25,
"50 Floor","448%","$51.9m","Construction","Georgia","Atlanta",,80,
"City Constructors","448%","$28.5m","Construction","California","Los Angeles",,45,
"Passports and Visas.com","448%","$8.3m","Travel & Hospitality","Georgia","Atlanta",,33,
"Midway Dental Supply","447%","$10.3m","Health","Michigan","Detroit",,35,
"Cloudwords","447%","$3.4m","Software","California","San Francisco",,36,
"Hilary's Eat Well distributed by Drink Eat Well","447%","$4.5m","Food & Beverage","Kansas","Lawrence KS",,34,
"Container Management","446%","$6.3m","Construction","Texas","Austin",,18,
"Sellpoints","446%","$22.8m","Advertising & Marketing","California","San Francisco",,62,
"Prime Real Estate","446%","$4.2m","Real Estate","Indiana","Chicago",,7,
"Smoking Vapor","445%","$4.1m","Consumer Products & Services","Arizona","Phoenix",,25,
"GULF COAST ORGANIC","444%","$7m","Environmental Services","Alabama","Daphne-Fairhope-Foley AL",,17,
"Marketing With You","443%","$3.1m","Advertising & Marketing","Nevada","Las Vegas-Henderson-Paradise NV",,12,
"ArcSource Group","443%","$9.7m","IT Services","Maryland","Baltimore",,32,
"24hrsdeals","442%","$10.8m","Consumer Products & Services","Florida","Miami",,23,
"InfoTrust","441%","$2.7m","Advertising & Marketing","Ohio","Cincinnati",,22,
"Material Handling Services","441%","$301.3m","Business Products & Services","Ohio","Toledo OH",,840,
"Rifle Paper Co.","441%","$18.1m","Consumer Products & Services","Florida","Orlando FL",,198,
"VUE Software","440%","$10.9m","Software","Florida","Miami",,360,
"Easton Porter Group","440%","$13.1m","Travel & Hospitality","Virginia","Charlottesville VA",,90,
"Radian Solutions","439%","$3.3m","IT Services","California","Sacramento CA",,5,
"Reliant Funding","439%","$11.2m","Financial Services","California","San Diego",,52,
"Nexus Global Business Solutions","438%","$14.5m","Business Products & Services","North Carolina","Raleigh NC",,80,
"Thompson Gray","438%","$25.6m","Government Services","Alabama","Huntsville AL",,93,
"Arch-Con Construction","437%","$173.7m","Construction","Texas","Houston",,85,
"Ventech Solutions","436%","$36.6m","IT Services","Ohio","Columbus OH",,290,
"Gold Coast IT Solutions","436%","$5.5m","IT Services","Virginia","Washington DC",,101,
"Hatch Realty","436%","$3.4m","Real Estate","North Dakota","Fargo ND-MN",,25,
"ZestFinance","434%","$73m","Financial Services","California","Los Angeles",,99,
"VitalWare","434%","$5.9m","Health","Washington","Yakima WA",,62,
"Renters Warehouse Arizona","433%","$4.2m","Real Estate","Arizona","Phoenix",,48,
"Choice Home Warranty","433%","$86.5m","Insurance","New Jersey","New York City",,220,
"Lone Star Bloom","433%","$9.6m","Retail","Texas","Houston",,200,
"Juno Search Partners","433%","$3.5m","Human Resources","Pennsylvania","Philadelphia",,9,
"STRATUS Solutions","431%","$8.5m","IT Services","Maryland","Baltimore",,48,
"AlerStallings","431%","$2.9m","Consumer Products & Services","Ohio","Columbus OH",,27,
"Response Team 1","430%","$166.9m","Construction","Illinois","Chicago",,600,
"Refinery29","429%","$80m","Media","New York","New York City",,326,
"Landmark Home Warranty","428%","$26.4m","Insurance","Utah","Salt Lake City",,231,
"LakePharma","425%","$11.3m","Health","California","San Francisco",,44,
"37th Parallel Properties","424%","$2.4m","Real Estate","Virginia","Richmond VA",,10,
"Untangle","424%","$22.2m","Security","California","San Jose",,60,
"Optimum RV","423%","$14.6m","Retail","Florida","Ocala FL",,49,
"Atyeti","423%","$20m","IT Services","New Jersey","New York City",,42,
"Precision Technologies","423%","$8.8m","IT Services","New Jersey","New York City",,66,
"AMSYS Innovative Solutions","422%","$5.1m","IT Services","Texas","Houston",,60,
"Babiators","421%","$3.6m","Consumer Products & Services","Georgia","Atlanta",,15,
"Axtria","421%","$26.6m","Software","New Jersey","New York City",,569,
"Mathys+Potestio","421%","$8m","Advertising & Marketing","Oregon","Portland OR",,16,
"Renovo Solutions","420%","$57.8m","Health","California","Los Angeles",,268,
"Aqueduct Technologies","420%","$25.6m","IT Services","Massachusetts","Boston",,68,
"BlackTree Healthcare Consulting","420%","$7m","Health","Pennsylvania","Philadelphia",,86,
"Eventellect","420%","$54.6m","Retail","Texas","Houston",,12,
"SRS Engineering","420%","$6.2m","Energy","California","Riverside-San Bernardino-Ontario CA",,20,
"Centerfield Media","419%","$74m","Advertising & Marketing","California","Los Angeles",,51,
"Verasolve","419%","$2.1m","Advertising & Marketing","Maryland","Washington DC",,18,
"Wellcentive","418%","$13.8m","Health","Georgia","Atlanta",,108,
"Index Promotions","418%","$39.2m","Advertising & Marketing","California","Los Angeles",,40,
"Stoneside Blinds & Shades","418%","$9.1m","Consumer Products & Services","Colorado","Denver",,57,
"BrandedOffers.com","417%","$5.8m","Advertising & Marketing","California","Los Angeles",,5,
"Matisia Consultants","417%","$45.2m","Business Products & Services","Washington","Seattle",,215,
"Aegis Strategies","417%","$4m","Logistics & Transportation","Illinois","St. Louis MO-IL",,63,
"Swrve","417%","$4.4m","Software","California","San Francisco",,110,
"ExactCare Pharmacy","416%","$119.2m","Health","Ohio","Cleveland",,249,
"Continuity","416%","$4.4m","Software","Connecticut","New Haven-Milford CT",,50,
"BizIQ","415%","$5.2m","Business Products & Services","Arizona","Phoenix",,66,
"IT Concepts","415%","$13m","Government Services","Virginia","Washington DC",,48,
"MarkSYS","415%","$13.6m","Advertising & Marketing","California","Sacramento CA",,30,
"Changeis","415%","$2.8m","Government Services","Virginia","Washington DC",,27,
"Proforma Irvine Group","415%","$2.4m","Business Products & Services","Georgia","Atlanta",,7,
"ITI Communications","415%","$4.9m","IT Services","North Carolina","Charlotte",,9,
"Zerelli Technologies","413%","$3.2m","Manufacturing","New York","New York City",,5,
"Tarmac","413%","$2m","IT Services","Minnesota","Minneapolis",,31,
"Ship My Orders","413%","$2.9m","Logistics & Transportation","Nevada","Las Vegas-Henderson-Paradise NV",,23,
"Integrated Biometrics","413%","$5.4m","Security","South Carolina","Spartanburg SC",,39,
"ANDesign","413%","$2.4m","Consumer Products & Services","California","Los Angeles",,16,
"METIS Solutions","413%","$16.4m","Government Services","Virginia","Washington DC",,134,
"ExecuSource","412%","$6.5m","Human Resources","Georgia","Atlanta",,68,
